Date,Open,High,Low,Close,Volume,Market_Cap
Jan 17  2019,0.022290,0.028007,0.022102,0.024932,201 129,1 121 083
Jan 16  2019,0.021184,0.023246,0.021120,0.022259,87 785,1 000 916
Jan 15  2019,0.021305,0.022269,0.020611,0.021223,42 630,954 344
Jan 14  2019,0.020951,0.021405,0.019961,0.021319,38 502,958 647
Jan 13  2019,0.021522,0.023719,0.020320,0.020469,92 744,920 440
Jan 12  2019,0.020700,0.026199,0.020190,0.021548,333 079,968 934
Jan 11  2019,0.020306,0.021581,0.019986,0.020720,22 223,931 719
Jan 10  2019,0.022655,0.023502,0.020113,0.020319,28 099,913 667
Jan 09  2019,0.023581,0.024344,0.022063,0.022649,26 236,993 663
Jan 08  2019,0.022540,0.024139,0.021479,0.023541,67 759,1 032 822
Jan 07  2019,0.024023,0.025631,0.022466,0.022509,105 610,987 530
Jan 06  2019,0.021318,0.028317,0.020043,0.023742,293 999,1 041 639
Jan 05  2019,0.020959,0.028064,0.020687,0.021730,312 125,953 336
Jan 04  2019,0.021336,0.022861,0.020349,0.021134,29 861,927 202
Jan 03  2019,0.021544,0.022838,0.020509,0.021174,38 586,928 945
Jan 02  2019,0.021058,0.021875,0.020194,0.021776,20 566,955 384
Jan 01  2019,0.021287,0.021324,0.019586,0.021006,42 063,921 593
Dec 31  2018,0.020837,0.021798,0.019772,0.021216,35 093,930 807
Dec 30  2018,0.021074,0.022500,0.019946,0.020813,43 483,913 103
Dec 29  2018,0.022243,0.022435,0.020958,0.021058,29 758,923 885
Dec 28  2018,0.020456,0.022316,0.019120,0.021979,82 120,964 279
Dec 27  2018,0.022395,0.022395,0.018836,0.020400,162 380,894 988
Dec 26  2018,0.023228,0.023462,0.021274,0.022407,97 692,983 061
Dec 25  2018,0.025074,0.028423,0.022414,0.023231,175 627,1 019 214
Dec 24  2018,0.021093,0.032609,0.021093,0.024484,770 265,1 074 162
Dec 23  2018,0.022308,0.023911,0.020627,0.021096,36 146,925 537
Dec 22  2018,0.021835,0.022394,0.020299,0.022210,55 503,974 398
Dec 21  2018,0.023174,0.023823,0.020434,0.021816,57 485,957 136
Dec 20  2018,0.023662,0.025581,0.021890,0.021949,76 081,962 956
Dec 19  2018,0.025014,0.025277,0.022923,0.023654,68 816,1 037 741
Dec 18  2018,0.024928,0.025037,0.022991,0.024958,22 618,1 094 981
Dec 17  2018,0.022479,0.025463,0.020931,0.024938,82 083,1 094 106
Dec 16  2018,0.022977,0.023037,0.021847,0.022456,19 808,985 186
Dec 15  2018,0.021631,0.023011,0.020323,0.022801,25 334,1 000 317
Dec 14  2018,0.021518,0.023345,0.021369,0.021647,22 807,949 717
Dec 13  2018,0.022906,0.023497,0.020535,0.021545,75 291,945 251
Dec 12  2018,0.021037,0.027998,0.020959,0.022896,260 353,1 004 495
Dec 11  2018,0.022845,0.022845,0.020169,0.021064,64 675,912 130
Dec 10  2018,0.024261,0.024464,0.022016,0.022870,54 362,990 304
Dec 09  2018,0.025082,0.025082,0.022576,0.024299,41 348,1 052 195
Dec 08  2018,0.027464,0.031396,0.022993,0.025171,282 261,1 089 961
Dec 07  2018,0.036152,0.036947,0.024653,0.025690,610 717,1 112 439
Dec 06  2018,0.021929,0.052692,0.021477,0.037426,2 911 132,1 620 620
Dec 05  2018,0.023010,0.023611,0.021732,0.021938,7 306,949 966
Dec 04  2018,0.021959,0.023770,0.021510,0.023004,16 597,996 125
Dec 03  2018,0.024127,0.024188,0.021295,0.021954,27 020,950 664
Dec 02  2018,0.023031,0.031945,0.022301,0.024476,212 864,1 059 857
Dec 01  2018,0.020698,0.024165,0.020461,0.023051,29 366,998 141
